timestamp,node_id,counter,soil_pct,raw_data,payload_bytes,rssi,snr,rtt_cloud_ms,decision_latency_ms,jitter_ms,missing_packets,cpu_percent,ram_percent,node_batt_pct,node_current_ma,gateway_batt_pct,gateway_current_ma
2026-04-14T18:00:28.802745,node2,10344,95,"NODE2,10344,374,95",18,-47,13.75,,15.0,0,0,2.1,17.3,0,0,91,0.0
2026-04-14T18:00:29.932184,node1,15252,91,"NODE1,15252,391,91",18,-41,13.5,,15.0,0,0,0.9,17.3,0,0,91,0.0
2026-04-14T18:00:38.643927,node1,15253,92,"NODE1,15253,390,92",18,-41,13.5,,15.0,0,0,2.1,17.3,0,0,91,0.0
2026-04-14T18:00:40.736342,node2,10345,93,"NODE2,10345,381,93",18,-47,12.75,,15.0,0,0,0.2,17.3,0,0,91,0.0
2026-04-14T18:00:47.358314,node1,15254,91,"NODE1,15254,391,91",18,-41,13.5,,15.0,0,0,2.6,17.2,0,0,91,0.0
2026-04-14T18:00:53.749643,node2,10346,94,"NODE2,10346,378,94",18,-47,14.25,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:00:56.069993,node1,15255,92,"NODE1,15255,390,92",18,-42,13.0,,15.0,0,0,6.4,17.2,0,0,91,0.0
2026-04-14T18:01:05.747581,node1,15256,91,"NODE1,15256,391,91",18,-41,13.0,,15.0,0,0,0.6,17.2,0,0,91,0.0
2026-04-14T18:01:07.845076,node2,10347,94,"NODE2,10347,379,94",18,-46,13.75,,15.0,0,0,4.9,17.2,0,0,91,0.0
2026-04-14T18:01:13.497116,node1,15257,92,"NODE1,15257,390,92",18,-41,13.0,,15.0,0,0,0.3,17.2,0,0,91,0.0
2026-04-14T18:01:20.858402,node2,10348,94,"NODE2,10348,379,94",18,-47,13.25,,15.0,0,0,2.2,17.2,0,0,91,0.0
2026-04-14T18:01:23.172871,node1,15258,92,"NODE1,15258,390,92",18,-41,13.25,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:01:32.849419,node1,15259,92,"NODE1,15259,390,92",18,-41,13.5,,15.0,0,0,3.8,17.2,0,0,91,0.0
2026-04-14T18:01:33.872245,node2,10349,94,"NODE2,10349,378,94",18,-47,13.5,,15.0,0,0,0.7,17.2,0,0,91,0.0
2026-04-14T18:01:40.597604,node1,15260,92,"NODE1,15260,390,92",18,-41,12.75,,15.0,0,0,3.8,17.3,0,0,91,0.0
2026-04-14T18:01:45.806873,node2,10350,94,"NODE2,10350,380,94",18,-48,13.5,,15.0,0,0,0.1,17.2,0,0,91,0.0
2026-04-14T18:01:50.272633,node1,15261,92,"NODE1,15261,390,92",18,-40,13.25,,15.0,0,0,2.8,17.3,0,0,91,0.0
2026-04-14T18:01:57.741756,node2,10351,94,"NODE2,10351,378,94",18,-48,13.5,,15.0,0,0,3.1,17.4,0,0,91,0.0
2026-04-14T18:01:58.986021,node1,15262,91,"NODE1,15262,391,91",18,-41,13.5,,15.0,0,0,0.8,17.4,0,0,91,0.0
2026-04-14T18:02:07.698612,node1,15263,92,"NODE1,15263,389,92",18,-41,13.5,,15.0,0,0,3.0,17.3,0,0,91,0.0
2026-04-14T18:02:11.834665,node2,10352,94,"NODE2,10352,379,94",18,-48,15.25,,15.0,0,0,0.2,17.3,0,0,91,0.0
2026-04-14T18:02:16.410598,node1,15264,91,"NODE1,15264,392,91",18,-41,13.25,,15.0,0,0,0.3,17.3,0,0,91,0.0
2026-04-14T18:02:24.849434,node2,10353,94,"NODE2,10353,378,94",18,-47,13.0,,15.0,0,0,1.8,17.2,0,0,91,0.0
2026-04-14T18:02:25.125259,node1,15265,91,"NODE1,15265,391,91",18,-40,13.0,,15.0,0,0,1.8,17.2,0,0,91,0.0
2026-04-14T18:02:35.762371,node1,15266,92,"NODE1,15266,390,92",18,-41,13.25,,15.0,0,0,1.4,17.2,0,0,91,0.0
2026-04-14T18:02:40.021657,node2,10354,95,"NODE2,10354,374,95",18,-47,13.75,,15.0,0,0,6.4,17.2,0,0,91,0.0
2026-04-14T18:02:44.474525,node1,15267,92,"NODE1,15267,389,92",18,-40,13.75,,15.0,0,0,1.3,17.2,0,0,91,0.0
2026-04-14T18:02:54.152989,node1,15268,92,"NODE1,15268,390,92",18,-39,9.0,,15.0,0,0,2.6,17.2,0,0,91,0.0
2026-04-14T18:03:04.788190,node1,15269,92,"NODE1,15269,390,92",18,-40,13.25,,15.0,0,0,0.7,17.1,0,0,91,0.0
2026-04-14T18:03:08.219002,node2,10356,95,"NODE2,10356,374,95",18,-48,12.75,,15.0,0,0,2.7,17.1,0,0,91,0.0
2026-04-14T18:03:15.426988,node1,15270,92,"NODE1,15270,390,92",18,-41,13.5,,15.0,0,0,0.2,17.1,0,0,91,0.0
2026-04-14T18:03:20.147039,node2,10357,94,"NODE2,10357,377,94",18,-48,13.75,,15.0,0,0,1.2,17.1,0,0,91,0.0
2026-04-14T18:03:25.102325,node1,15271,92,"NODE1,15271,390,92",18,-41,13.5,,15.0,0,0,1.9,17.1,0,0,91,0.0
2026-04-14T18:03:32.851734,node1,15272,92,"NODE1,15272,389,92",18,-42,13.0,,15.0,0,0,0.7,17.1,0,0,91,0.0
2026-04-14T18:03:34.239748,node2,10358,94,"NODE2,10358,376,94",18,-47,13.5,,15.0,0,0,6.3,17.2,0,0,91,0.0
2026-04-14T18:03:41.565070,node1,15273,91,"NODE1,15273,391,91",18,-40,13.5,,15.0,0,0,0.1,17.2,0,0,91,0.0
