timestamp,node_id,counter,soil_pct,rssi,missing_packets,payload_bytes,decision_latency_ms,jitter_ms,cpu_percent,ram_percent,gateway_batt_pct,gateway_current_ma
1772582861.8076258,node2,1697,79,-56,0,98,123.4367,0.5233,0.0,3.6,77,0.0
1772582866.7035124,node1,2224,66,-53,0,97,122.7853,0.4988,0.0,3.6,77,0.0
1772582874.6707742,node2,1698,80,-60,0,98,121.9392,1.4975,0.0,3.6,77,0.0
1772582877.2268715,node1,2225,66,-54,0,98,632.0052,509.2199,0.0,3.6,77,0.0
1772582886.1436071,node2,1699,79,-58,0,98,125.7772,3.8381,0.1,3.7,77,0.0
1772582887.1282392,node1,2226,66,-58,0,97,125.7725,506.2327,0.0,3.7,77,0.0
1772582895.754552,node1,2227,66,-57,0,97,125.8156,0.0432,0.0,3.6,77,0.0
1772582898.120898,node2,1700,79,-59,0,98,126.6344,0.8571,0.0,3.6,77,0.0
1772582904.7508059,node1,2228,67,-56,0,98,125.9646,0.149,0.0,3.6,77,0.0
1772582909.3588502,node2,1701,79,-59,0,98,124.1481,2.4862,0.1,3.6,77,0.0
1772582914.9537704,node1,2229,66,-52,0,98,131.254,5.2893,0.0,3.6,77,0.0
1772582921.9475362,node2,1702,79,-61,0,98,125.9611,1.8129,0.0,3.5,77,0.0
1772582925.0572507,node1,2230,65,-52,0,97,125.8068,5.4471,0.0,3.5,76,0.0
1772582933.7108378,node2,1703,79,-60,0,98,126.9441,0.983,0.0,3.5,76,0.0
1772582935.4120958,node1,2231,66,-53,0,98,125.8471,0.0403,0.0,3.5,76,0.0
1772582946.260759,node1,2232,65,-55,0,98,125.91,0.0629,0.0,3.5,76,0.0
1772582946.912571,node2,1704,79,-52,0,98,125.8132,1.1308,0.0,3.5,76,0.0
1772582956.7492416,node1,2233,66,-62,0,98,126.2419,0.3319,0.0,3.5,77,0.0
1772582959.2404294,node2,1705,79,-51,0,98,126.056,0.2427,0.0,3.5,76,0.0
1772582967.2775214,node1,2234,66,-56,0,98,124.7456,1.4963,0.0,3.5,76,0.0
1772582973.161703,node2,1706,79,-51,0,98,125.8178,0.2382,0.0,3.5,76,0.0
1772582977.534763,node1,2235,66,-57,0,97,125.6995,0.9539,0.1,3.5,77,0.0
1772582986.5597477,node2,1707,79,-49,0,97,125.7861,0.0317,0.0,3.6,76,0.0
1772582987.681917,node1,2236,66,-55,0,98,126.0056,0.3061,0.2,3.6,76,0.0
