timestamp,node_id,counter,soil_pct,rssi,missing_packets,payload_bytes,decision_latency_ms,jitter_ms,cpu_percent,ram_percent,gateway_batt_pct,gateway_current_ma
1774979173.2566748,node2,652,0,-36,0,47,126.6191,126.6191,0.0,3.7,0,0.0
1774979629.2656705,node2,688,0,-35,35,48,127.322,0.7029,0.0,3.6,0,0.0
1774980106.3917782,node2,20,0,-36,0,47,126.5192,0.8028,0.0,3.7,0,0.0
1774980345.6780298,node2,39,0,-32,18,47,125.3681,1.1511,0.0,3.7,0,0.0
1774980587.9041004,node2,58,0,-32,18,95,126.3053,0.9372,0.0,3.7,91,0.0
1774980820.7495778,node2,77,0,-34,18,95,126.6701,0.3648,0.0,3.6,90,0.0
1774981055.4448485,node2,96,0,-33,18,95,126.6134,0.0567,0.0,3.6,89,0.0
